CP,GridReference,Easting,Northing,Latitude,Longitude,Road,LinkLength_miles,RoadCategory
6407,SX 93715 89043,293715,89043,50.691292,-3.5060762999999997,A379,0.55,PR
6407,SX 93841 89119,293841,89119,50.691998999999996,-3.5043168,A379,0.55,PR
6407,SX 93955 89231,293955,89231,50.693032,-3.5027288999999997,A379,0.55,PR
6407,SX 94288 89633,294288,89633,50.696702,-3.4981370000000003,A379,0.55,PR
6407,SX 94180 89559,294180,89559,50.696023,-3.4996389999999997,A379,0.55,PR
6407,SX 94088 89498,294088,89498,50.695452,-3.5009265,A379,0.55,PR
6407,SX 94026 89439,294026,89439,50.694908,-3.5017848,A379,0.55,PR
6407,SX 94010 89384,294010,89384,50.694419,-3.5019994,A379,0.55,PR
16023,SX 96870 93012,296870,93012,50.727546000000004,-3.4625387,M5,1.11,TM
16023,SX 96861 92245,296861,92245,50.720645000000005,-3.4624529,M5,1.11,TM
16023,SX 96904 92909,296904,92909,50.726622,-3.4620237,M5,1.11,TM
16023,SX 96882 92716,296882,92716,50.724883,-3.4622812000000005,M5,1.11,TM
16023,SX 96892 92583,296892,92583,50.723688,-3.4621096,M5,1.11,TM
16023,SX 96871 92474,296871,92474,50.72271,-3.4623671000000003,M5,1.11,TM
16023,SX 96878 91912,296878,91912,50.717656,-3.4621096,M5,1.11,TM
16023,SX 96871 91821,296871,91821,50.716840999999995,-3.4621953999999997,M5,1.11,TM
16023,SX 96818 91593,296818,91593,50.714776,-3.462882,M5,1.11,TM
16023,SX 96785 91454,296785,91454,50.713526,-3.4633112,M5,1.11,TM
16023,SX 96883 92129,296883,92129,50.719613,-3.4621096,M5,1.11,TM
16382,SX 93361 89141,293361,89141,50.692108000000005,-3.5111189,A379,2.17,PR
16382,SX 93113 89194,293113,89194,50.692543,-3.5146379,A379,2.17,PR
16382,SX 92974 89197,292974,89197,50.692543,-3.5166121,A379,2.17,PR
16382,SX 92748 89147,292748,89147,50.692054,-3.5197877999999996,A379,2.17,PR
16382,SX 92553 89060,292553,89060,50.691238,-3.5225343999999996,A379,2.17,PR
16382,SX 92454 89008,292454,89008,50.690749,-3.5239077000000005,A379,2.17,PR
16382,SX 92326 88950,292326,88950,50.690205,-3.5257101000000004,A379,2.17,PR
16382,SX 92258 88879,292258,88879,50.689552,-3.5266542000000003,A379,2.17,PR
16382,SX 92114 88688,292114,88688,50.687812,-3.5286282999999994,A379,2.17,PR
16382,SX 92045 88569,292045,88569,50.686725,-3.5295725,A379,2.17,PR
16382,SX 91970 88443,291970,88443,50.685583,-3.5306025,A379,2.17,PR
16382,SX 91912 88317,291912,88317,50.684441,-3.5313748999999994,A379,2.17,PR
16382,SX 91867 88149,291867,88149,50.682918,-3.5319757000000007,A379,2.17,PR
16382,SX 91870 88010,291870,88010,50.681667,-3.5318899,A379,2.17,PR
16382,SX 91866 87810,291866,87810,50.679873,-3.5318899,A379,2.17,PR
16382,SX 91832 87678,291832,87678,50.678676,-3.5323191,A379,2.17,PR
16382,SX 91785 87437,291785,87437,50.6765,-3.5329199,A379,2.17,PR
16382,SX 91689 87203,291689,87203,50.674378999999995,-3.5342073,A379,2.17,PR
16971,SX 92608 92841,292608,92841,50.725235999999995,-3.5228562000000005,A377,1.3,PU
16971,SX 91893 93146,291893,93146,50.727844,-3.5330701,A377,1.3,PU
16971,SX 91257 93779,291257,93779,50.733413,-3.5422540000000002,A377,1.3,PU
16971,SX 91298 93742,291298,93742,50.733087,-3.5416746,A377,1.3,PU
16971,SX 91356 93656,291356,93656,50.732327000000005,-3.5408163,A377,1.3,PU
16971,SX 91451 93521,291451,93521,50.731131,-3.539443,A377,1.3,PU
16971,SX 91468 93478,291468,93478,50.730751,-3.5391855000000003,A377,1.3,PU
16971,SX 91500 93351,291500,93351,50.72961,-3.5386919999999997,A377,1.3,PU
16971,SX 91573 93222,291573,93222,50.728469,-3.5376190999999997,A377,1.3,PU
16971,SX 91644 93139,291644,93139,50.727736,-3.5365891000000005,A377,1.3,PU
16971,SX 91828 93111,291828,93111,50.727517999999996,-3.5339712999999997,A377,1.3,PU
16971,SX 91707 93120,291707,93120,50.727573,-3.5356879,A377,1.3,PU
16971,SX 91984 93147,291984,93147,50.727872,-3.5317826,A377,1.3,PU
16971,SX 92072 93155,292072,93155,50.727953,-3.5305381000000002,A377,1.3,PU
16971,SX 92131 93111,292131,93111,50.727573,-3.5296797999999994,A377,1.3,PU
16971,SX 92182 93071,292182,93071,50.72722,-3.5289502,A377,1.3,PU
16971,SX 92259 92966,292259,92966,50.726296000000005,-3.5278343999999997,A377,1.3,PU
16971,SX 92297 92917,292297,92917,50.725861,-3.5272765,A377,1.3,PU
16971,SX 92326 92865,292326,92865,50.725398999999996,-3.5268474000000003,A377,1.3,PU
16971,SX 92474 92823,292474,92823,50.725046,-3.5247445,A377,1.3,PU
16971,SX 92556 92833,292556,92833,50.725155,-3.5235858,A377,1.3,PU
16971,SX 91175 93889,291175,93889,50.734390999999995,-3.5434556000000006,A377,1.3,PU
16971,SX 91129 94017,291129,94017,50.735532,-3.5441422,A377,1.3,PU
16972,SX 91535 91002,291535,91002,50.708498999999996,-3.5375011,A377,1.05,PU
16972,SX 91493 91104,291493,91104,50.709409,-3.5381233999999995,A377,1.05,PU
16972,SX 91503 91206,291503,91206,50.710333,-3.5380161,A377,1.05,PU
16972,SX 91520 91304,291520,91304,50.711216,-3.5378015,A377,1.05,PU
16972,SX 91543 92182,291543,92182,50.71911,-3.5377370999999997,A377,1.05,PU
16972,SX 91517 92102,291517,92102,50.71839,-3.5380805,A377,1.05,PU
16972,SX 91543 92047,291543,92047,50.717901,-3.5376942000000002,A377,1.05,PU
16972,SX 91597 92016,291597,92016,50.717628999999995,-3.5369217000000006,A377,1.05,PU
16972,SX 91627 91959,291627,91959,50.71712,-3.5364872000000003,A377,1.05,PU
16972,SX 91644 91926,291644,91926,50.716834000000006,-3.5362297,A377,1.05,PU
16972,SX 91661 91851,291661,91851,50.716155,-3.5359722000000002,A377,1.05,PU
16972,SX 91660 91823,291660,91823,50.715903999999995,-3.5359830000000003,A377,1.05,PU
16972,SX 91662 91779,291662,91779,50.715516,-3.5359293,A377,1.05,PU
16972,SX 91657 91716,291657,91716,50.714946000000005,-3.5359830000000003,A377,1.05,PU
16972,SX 91639 91657,291639,91657,50.714409,-3.5362190000000004,A377,1.05,PU
16972,SX 91620 91591,291620,91591,50.713811,-3.5364765,A377,1.05,PU
16972,SX 91599 91535,291599,91535,50.713309,-3.5367501000000003,A377,1.05,PU
